in01	in02	in03	in04	in05	in06	in07	in08	in09	in10	in11	in12	in13	in14	in15	in16	in17	Class
white	0.0091	0.09	0.01	0.01	5.7	0.22	0.22	very sweet	0.044	39	110	0.99855	3.24	0.48	low	25.69	no
white	0.0062	0.05	0.03	0.06	7.6	0.48	0.37	very low	0.034	5	57	0.99256	3.05	0.54	med	18.3	no
white	0.0076	0.01	0.04	0.01	7.8	0.15	0.34	very low	0.035	31	93	0.99096	3.07	0.72	med	21.05	yes
white	0.0012	0.01	0.04	0.06	6.6	0.35	0.19	very sweet	0.06	15	82	0.99588	3.13	0.38	low	25.2	no
red	0.068	0.67	0.62	0.17	10.9	0.39	0.47	very low	0.118	6	14	0.9982	3.3	0.75	low	22.19	no
red	0.064	0.73	0.31	0.27	6.4	0.865	0.03	low	0.071	27	58	0.995	3.61	0.49	standard	13.07	no
white	0.0059	0.07	0.07	0.06	6.9	0.19	0.28	med	0.058	14	146	0.9952	3.29	0.36	low	26.92	no
white	0.0048	0.08	0.05	0.03	9	0.2	0.33	low	0.049	10	40	0.9944	3.14	0.36	low	26.29	no
red	0.055	0.79	0.44	0.38	7.7	0.18	0.34	low	0.066	15	58	0.9947	3.37	0.78	standard	44.71	no
red	0.056	0.61	0.16	0.33	8.6	0.685	0.1	very low	0.092	3	12	0.99745	3.31	0.65	low	27.46	no
white	0.0083	0.03	0.04	0.03	7.4	0.19	0.3	very sweet	0.053	48	229	0.9986	3.14	0.49	low	19.82	yes
white	0.0072	0.01	0.05	0.06	7.1	0.21	0.28	low	0.034	23	111	0.99405	3.35	0.64	med	26.36	no
white	0.0011	0.1	0.08	0.01	6.5	0.26	0.34	very low	0.04	25	184	0.99216	3.29	0.46	med	12.62	no
red	0.04	0.43	0.52	0.23	6.5	0.53	0.06	low	0.063	29	44	0.99489	3.38	0.83	med	41.47	no
white	0.0062	0.06	0.02	0.01	6	0.42	0.41	very sweet	0.032	50	179	0.99622	3.14	0.6	low	26.7	no
red	0.057	0.52	0.29	0.35	6.8	0.59	0.06	sweet	0.06	11	18	0.9962	3.41	0.59	med	49.7	yes
white	0.0097	0.04	0.02	0.04	6	0.555	0.26	med	0.053	17	126	0.9943	3.24	0.46	low	21.14	no
white	0.0068	0.04	0.06	0.03	6.4	0.35	0.35	med	0.034	9	148	0.99441	3.17	0.5	low	23.21	no
white	0.01	0.06	0.07	0.01	8.4	0.2	0.38	very sweet	0.055	51	170	1.0004	3.34	0.82	low	19.27	no
red	0.056	0.25	0.25	0.25	5.1	0.51	0.18	low	0.042	16	101	0.9924	3.46	0.87	standard	38.74	yes
white	0.003	0.06	0.07	0.03	7.7	0.12	0.32	very low	0.06	47	150	0.9952	3.37	0.42	low	18.08	no
white	0.0093	0.09	0.04	0.06	6.5	0.18	0.26	very low	0.041	40	141	0.9941	3.34	0.72	low	17.38	no
red	0.045	0.23	0.48	0.16	7.5	0.38	0.57	low	0.106	5	12	0.99605	3.36	0.55	med	48.88	no
white	0.0049	0.06	0.08	0.05	6.8	0.22	0.3	very sweet	0.055	50	180	0.9984	3.44	0.39	low	16.91	no
red	0.06	0.75	0.56	0.42	6.7	0.58	0.08	very low	0.097	15	65	0.9959	3.28	0.54	low	19.94	no
red	0.042	0.71	0.54	0.43	7.5	0.51	0.02	very low	0.084	13	31	0.99538	3.36	0.54	med	13.73	no
white	0.0093	0.07	0.04	0.05	4.8	0.13	0.32	very low	0.042	40	98	0.9898	3.42	0.64	standard	23.5	yes
white	0.0057	0.04	0.04	0.03	8.2	0.18	0.31	very sweet	0.039	96	249	0.9976	3.07	0.52	low	17.28	no
white	0.0051	0.1	0.07	0.01	7.6	0.32	0.35	very low	0.092	24	138	0.99438	3.19	0.44	low	24.74	no
white	0.006	0.07	0.02	0.02	6.7	0.24	0.26	very sweet	0.053	44	182	0.99802	3.42	0.42	low	27.43	no
white	0.0083	0.02	0.05	0.01	7.8	0.25	0.37	very low	0.043	10	80	0.99128	3.08	0.38	med	21.51	no
white	0.0054	0.06	0.07	0.06	6.7	0.24	0.41	low	0.039	48	122	0.99052	3.25	0.43	standard	18.94	no
white	0.0098	0.04	0.01	0.06	4.8	0.17	0.28	low	0.03	22	111	0.9902	3.38	0.34	med	12.67	yes
white	0.0091	0.1	0.04	0.05	6.3	0.26	0.49	very low	0.052	34	134	0.9924	2.99	0.61	low	24.73	no
white	0.0067	0.09	0.04	0.06	6.7	0.14	0.46	very low	0.036	15	92	0.99264	3.37	0.49	med	15.91	no
white	0.0087	0.01	0.02	0.04	7.6	0.36	0.49	very sweet	0.046	87	221	0.9984	3.01	0.43	low	26.38	no
white	0.0081	0.08	0.08	0.06	6.4	0.69	0.09	sweet	0.044	34	144	0.9948	3.26	0.38	med	27.81	no
white	0.0048	0.05	0.01	0.02	6.1	1.1	0.16	med	0.033	8	109	0.99058	3.35	0.47	standard	28.78	no
white	0.0073	0.03	0.05	0.03	6.5	0.2	0.5	very sweet	0.054	50	221	0.99941	2.94	0.64	low	12.39	no
white	0.0066	0.1	0.03	0.06	6.8	0.25	0.31	very sweet	0.05	69	202	0.9972	3.22	0.48	low	12.17	no
red	0.059	0.81	0.37	0.41	8.1	0.545	0.18	very low	0.08	13	35	0.9972	3.3	0.59	low	36.22	no
white	0.0035	0.08	0.06	0.01	7.5	0.19	0.34	low	0.037	33	125	0.9923	3.1	0.49	med	28.31	yes
white	0.0018	0.04	0.05	0.02	7.5	0.3	0.32	very low	0.032	31	161	0.99154	2.95	0.42	med	15.59	no
white	0.0022	0.02	0.01	0.01	7.2	0.25	0.28	very sweet	0.055	55	205	0.9986	3.12	0.38	low	27.24	yes
white	0.0084	0.03	0.07	0.02	7.2	0.31	0.5	very sweet	0.056	68	195	0.9982	3.01	0.47	low	25.5	no
white	0.0075	0.02	0.01	0.04	7.1	0.17	0.43	very low	0.023	33	132	0.99067	3.11	0.56	standard	29.97	no
white	0.0051	0.05	0.02	0.05	7.1	0.38	0.4	low	0.042	54	201	0.99177	3.03	0.5	med	15.39	no
red	0.053	0.34	0.33	0.18	7.8	0.63	0.48	very low	0.1	14	96	0.9961	3.19	0.62	low	42.01	no
white	0.0045	0.1	0.08	0.01	7.4	0.25	0.37	low	0.05	24	132	0.99138	3.04	0.53	med	29.82	no
white	2e-4	0.01	0.07	0.02	6.9	0.26	0.38	very sweet	0.044	33	139	0.99517	3.06	0.5	med	19.76	no
white	0.0057	0.01	0.05	0.03	8.2	0.29	0.33	very sweet	0.036	28	118	0.9953	2.96	0.4	med	13.92	yes
white	0.0067	0.06	0.06	0.03	5.6	0.46	0.24	med	0.042	24	72	0.9908	3.29	0.37	standard	14.8	no
white	0.0072	0.1	0.05	0.02	7.1	0.23	0.39	very sweet	0.058	26	172	0.99755	2.9	0.46	low	24.43	no
white	0.0076	0.05	0.05	0.06	6.6	0.23	0.3	very sweet	0.051	33	118	0.99835	3.04	0.54	low	17.19	no
white	0.0055	0.07	0.08	0.04	7.7	0.16	0.41	very low	0.048	60	173	0.9932	3.24	0.66	med	28.65	yes
white	0.0018	0.01	0.06	0.06	6.7	0.29	0.45	very sweet	0.054	30	181	0.99869	3.14	0.57	low	15.2	no
white	0.0035	0.03	0.07	0.06	7.3	0.24	0.39	low	0.024	35	116	0.9928	3.17	0.51	med	22.87	no
white	0.0064	0.03	0.05	0.04	6.5	0.28	0.34	med	0.054	22	130	0.99193	3.2	0.46	standard	12.96	yes
white	0.0024	0.07	0.06	0.04	7.7	0.39	0.28	med	0.035	36	109	0.9918	3.19	0.58	standard	26.92	yes
white	0.0053	0.06	0.05	0.02	6.7	0.42	0.39	very sweet	0.04	61	248	0.99794	3.31	0.58	low	15.23	no
white	0.0072	0.03	0.06	0.03	6	0.28	0.27	low	0.051	23	147	0.994	3.23	0.67	med	21.51	no
white	0.007	0.03	0.08	0.05	6.2	0.32	0.5	sweet	0.048	61	186	0.9948	3.19	0.45	low	15.47	no
white	0.0063	0.01	0.05	0.02	6.4	0.25	0.74	sweet	0.045	52	209	0.9956	3.21	0.42	low	12.47	no
white	0.0045	0.07	0.05	0.03	7.4	0.29	0.31	very low	0.035	23	110	0.9926	3.07	0.38	med	21.86	no
white	0.0066	0.09	0.03	0.02	6.5	0.37	0.3	low	0.033	39	107	0.98894	3.22	0.53	high	21.99	yes
red	0.035	0.28	0.11	0.1	9.4	0.41	0.48	med	0.072	10	20	0.9973	3.34	0.79	standard	20.03	yes
red	0.04	0.7	0.19	0.35	6.5	0.61	0	low	0.095	48	59	0.99541	3.61	0.7	standard	46.92	no
red	0.043	0.23	0.46	0.26	12.5	0.46	0.49	med	0.07	26	49	0.9981	3.05	0.57	low	11.4	no
red	0.039	0.22	0.48	0.12	7.5	0.31	0.41	low	0.065	34	60	0.99492	3.34	0.85	med	36.13	no
white	0.0058	0.03	0.05	0.05	8	0.45	0.36	very sweet	0.026	50	151	0.9927	3.07	0.25	standard	14.7	yes
white	0.0031	0.02	0.01	0.06	7.3	0.22	0.26	very low	0.04	32	172	0.99194	3.27	0.48	med	21.79	no
white	0.0036	0.04	0.03	0.06	7.4	0.33	0.26	very sweet	0.049	67	210	0.99907	3.06	0.68	low	21.53	no
white	0.0067	0.05	0.07	0.04	7.4	0.23	0.43	very low	0.044	22	113	0.9938	3.22	0.62	med	19.36	no
white	0.0051	0.09	0.08	0.02	6.8	0.27	0.3	very sweet	0.047	69	160	0.99705	3.16	0.5	low	19.37	no
white	0.0085	0.01	0.05	0.05	6	0.26	0.33	med	0.04	15	80	0.98934	3.29	0.5	standard	14.46	no
white	0.0072	0.06	0.04	0.05	6.7	0.28	0.28	med	0.051	14	92	0.99224	3.36	0.58	standard	20.61	no
white	0.0019	0.06	0.03	0.02	7.8	0.26	0.49	low	0.045	21	116	0.9931	3.16	0.35	med	27.29	no
white	0.001	0.04	0.01	0.01	7.8	0.27	0.28	very low	0.05	21	127	0.9934	3.15	0.44	low	12.48	no
white	0.0012	0.1	0.07	0.05	6.3	0.27	0.29	very sweet	0.044	59	196	0.99782	3.14	0.4	low	16.69	no
white	0.0048	0.07	0.07	0.05	7.7	0.38	0.4	low	0.038	28	152	0.9906	3.18	0.32	standard	21.74	no
white	0.0073	0.04	0.08	0.01	6.7	0.24	0.33	very sweet	0.046	31	145	0.9983	3.36	0.4	low	24.22	no
white	0.0039	0.07	0.01	0.05	5.9	0.21	0.23	sweet	0.033	22	130	0.9944	3.38	0.59	med	16.36	no
white	0.0063	0.03	0.05	0.01	5	0.33	0.23	very sweet	0.03	23	158	0.99322	3.41	0.64	standard	17.34	no
red	0.065	0.49	0.32	0.24	8.4	0.745	0.11	very low	0.09	16	63	0.9965	3.19	0.82	low	30.76	no
white	0.001	0.06	0.07	0.01	6.1	0.25	0.48	very sweet	0.052	25	94	0.99782	3.07	0.45	low	28.59	no
white	0.0038	0.08	0.08	0.03	8.9	0.26	0.33	very sweet	0.024	47	202	0.99558	3.13	0.46	med	12.84	no
white	0.0074	0.01	0.08	0.01	6.2	0.28	0.57	very low	0.043	50	92	0.99004	3.17	0.36	standard	14.37	no
white	0.0018	0.04	0.07	0.03	8	0.36	0.43	very sweet	0.053	29	146	0.9982	3.4	0.46	low	23.17	no
white	8e-4	0.09	0.05	0.01	5.7	0.26	0.24	very sweet	0.059	23	124	0.99773	3.3	0.5	med	13.12	no
red	0.059	0.14	0.29	0.11	6.6	0.735	0.02	sweet	0.122	68	124	0.9994	3.47	0.53	low	39.78	no
red	0.058	0.49	0.32	0.23	9.3	0.36	0.39	very low	0.08	41	55	0.99652	3.47	0.73	med	39.43	no
red	0.062	0.13	0.1	0.24	7.4	0.61	0.01	low	0.074	13	38	0.99748	3.48	0.65	low	48.2	no
white	0.005	0.09	0.02	0.06	6.6	0.22	0.34	very sweet	0.05	59	140	0.99526	3.22	0.4	med	28.62	no
red	0.041	0.54	0.24	0.23	5.4	0.58	0.08	very low	0.059	20	31	0.99484	3.5	0.64	med	18.11	no
white	0.0051	0.02	0.08	0.01	7.4	0.19	0.31	very sweet	0.045	39	193	0.9986	3.1	0.5	low	18.8	no
white	0.0038	0.02	0.02	0.04	5.6	0.19	0.47	med	0.03	19	112	0.9922	3.56	0.45	med	18.51	no
white	5e-4	0.07	0.02	0.01	6.5	0.3	0.27	med	0.038	37	97	0.99026	3.2	0.6	standard	16.84	yes
white	0.0097	0.03	0.04	0.01	7.7	0.28	0.33	sweet	0.037	32	155	0.9951	3.39	0.62	med	18.42	yes
white	0.0044	0.07	0.03	0.04	6.8	0.22	0.29	very sweet	0.046	82	188	0.9955	3.3	0.44	med	16.14	no
white	0.007	0.02	0.08	0.04	5.8	0.28	0.3	low	0.026	36	105	0.98963	3.26	0.58	standard	16.06	no
white	0.0032	0.1	0.01	0.04	8.2	0.23	0.29	very low	0.047	47	187	0.9933	3.13	0.5	med	27.28	no
white	0.0011	0.07	0.08	0.06	8.3	0.14	0.36	very sweet	0.026	13	60	0.9956	3.13	0.35	med	14.39	no
white	0.0096	0.04	0.01	0.04	6.1	0.16	0.34	sweet	0.034	31	114	0.99365	3.32	0.58	med	28.62	yes
white	0.0018	0.08	0.05	0.01	7.1	0.35	0.24	very sweet	0.055	46	198	0.9988	3.12	0.49	low	19.7	no
red	0.063	0.48	0.19	0.41	7.5	0.51	0.02	very low	0.084	13	31	0.99538	3.36	0.54	med	20.41	no
white	0.0059	0.09	0.07	0.01	6.8	0.26	0.56	very sweet	0.043	64	226	0.997	3.02	0.63	low	28.48	no
red	0.041	0.56	0.28	0.33	10.6	0.34	0.49	low	0.078	20	78	0.9992	3.19	0.7	med	20.26	no
white	2e-4	0.03	0.04	0.05	5.2	0.24	0.45	low	0.027	21	128	0.992	3.55	0.49	med	14.1	yes
white	0.0083	0.03	0.04	0.04	6.6	0.905	0.19	very low	0.048	17	204	0.9934	3.34	0.56	med	18.59	no
white	0.0072	0.05	0.07	0.03	6.5	0.46	0.41	very sweet	0.084	59	222	0.9993	3.18	0.58	low	26.44	no
red	0.047	0.21	0.27	0.2	6.6	0.725	0.09	med	0.117	9	17	0.99655	3.35	0.49	med	14.29	no
white	0.0063	0.01	0.08	0.02	6.3	0.3	0.28	med	0.042	36	168	0.99505	3.22	0.69	low	29.6	no
white	0.0099	0.09	0.06	0.06	6.6	0.32	0.47	very sweet	0.063	27	173	0.99872	3.18	0.56	low	25.13	no
red	0.057	0.34	0.2	0.13	7.2	0.34	0.21	low	0.075	41	68	0.99586	3.37	0.54	med	29.17	no
white	8e-4	0.08	0.04	0.03	8	0.29	0.29	very sweet	0.046	26	113	0.9983	3.25	0.37	low	18.35	no
red	0.055	0.6	0.29	0.33	8	0.33	0.53	low	0.091	18	80	0.9976	3.37	0.8	low	40.1	no
white	0.0019	0.04	0.01	0.03	6.7	0.44	0.31	very low	0.03	41	104	0.99	3.29	0.62	standard	13.04	yes
white	0.0037	0.05	0.04	0.03	5.9	0.29	0.16	sweet	0.044	48	197	0.99512	3.21	0.36	low	17.79	no
white	0.0083	0.01	0.06	0.05	8.9	0.33	0.34	very low	0.056	14	171	0.9946	3.13	0.47	low	19.29	no
red	0.059	0.85	0.36	0.43	7.8	0.41	0.68	very low	0.467	18	69	0.9973	3.08	1.31	low	38.17	no
white	0.0011	0.01	0.08	0.05	6.4	0.15	0.36	very low	0.034	43	150	0.9922	3.42	0.69	med	21.15	yes
white	0.0087	0.09	0.03	0.03	6.6	0.27	0.29	med	0.045	57	189	0.9953	3.31	0.79	low	12.45	no
white	0.004	0.01	0.05	0.03	6.7	0.15	0.32	sweet	0.034	17	81	0.99512	3.29	0.31	med	21.29	no
red	0.036	0.55	0.55	0.27	7	0.42	0.35	very low	0.088	16	39	0.9961	3.34	0.55	low	21.02	no
white	4e-4	0.03	0.04	0.03	6.7	0.51	0.24	low	0.043	14	155	0.9904	3.22	0.6	standard	28.5	no
white	6e-4	0.03	0.01	0.05	6.4	0.24	0.49	med	0.053	25	120	0.9942	3.01	0.98	med	20.52	no
white	0.0014	0.01	0.02	0.01	6.1	0.38	0.47	very low	0.051	59	210	0.99309	3.24	0.5	low	23.88	no
white	0.0085	0.02	0.01	0.04	6.3	0.41	0.3	low	0.03	49	164	0.9927	3.53	0.79	standard	24.88	yes
red	0.049	0.32	0.3	0.31	8.8	0.46	0.45	low	0.065	7	18	0.9947	3.32	0.79	high	22.53	no
red	0.052	0.2	0.53	0.41	7.2	0.695	0.13	low	0.076	12	20	0.99546	3.29	0.54	med	27.61	no
white	0.007	0.02	0.08	0.01	6	0.28	0.52	med	0.078	30	139	0.99494	3.1	0.36	low	29.92	no
white	0.007	0.05	0.04	0.03	6.3	0.17	0.32	med	0.04	37	117	0.99182	3.24	0.43	med	19.35	no
white	0.0071	0.06	0.02	0.01	9.9	1.005	0.46	very low	0.046	34	185	0.9966	3.02	0.49	med	27.89	no
white	0.0076	0.07	0.03	0.06	5.8	0.17	0.3	very low	0.037	55	130	0.9909	3.29	0.38	med	28.22	no
white	0.0092	0.09	0.02	0.02	7	0.33	0.32	very low	0.053	38	138	0.9906	3.13	0.28	med	18.82	no
red	0.062	0.26	0.55	0.36	7.7	0.41	0.76	very low	0.611	8	45	0.9968	3.06	1.26	low	10.66	no
white	0.0071	0.1	0.01	0.06	7.6	0.31	0.27	very sweet	0.021	57	156	0.99442	3.08	0.38	med	22.22	yes
red	0.067	0.31	0.16	0.17	6.4	0.4	0.23	very low	0.066	5	12	0.9958	3.34	0.56	low	21.44	no
white	0.0092	0.08	0.06	0.04	7.4	0.22	0.33	low	0.045	31	101	0.9931	3.42	0.55	med	28.81	no
white	0.0029	0.06	0.06	0.01	6.8	0.26	0.34	very sweet	0.06	42	162	0.99705	3.24	0.52	med	25.79	no
red	0.06	0.35	0.65	0.44	9	0.38	0.41	low	0.103	6	10	0.99604	3.13	0.58	standard	15.03	yes
white	8e-4	0.07	0.03	0.06	7.8	0.13	0.3	very low	0.04	43	179	0.9955	3.43	0.41	low	20.84	no
white	0.0092	0.04	0.07	0.05	6.8	0.27	0.42	sweet	0.054	58	200	0.99556	3.12	0.49	low	26.28	no
white	0.0083	0.08	0.07	0.01	7.4	0.24	0.42	very sweet	0.066	48	198	0.9979	2.89	0.42	low	13.72	no
white	0.0085	0.08	0.01	0.01	9.7	0.24	0.45	very low	0.033	11	59	0.9926	2.74	0.47	med	16.2	no
white	0.0083	0.01	0.03	0.05	8.8	0.36	0.44	very low	0.04	9	121	0.9953	3.19	0.48	low	15.04	no
white	0.0064	0.03	0.07	0.04	6.6	0.26	0.25	very sweet	0.045	45	178	0.99691	3.33	0.43	low	22.19	no
red	0.039	0.22	0.41	0.15	9.3	0.39	0.44	low	0.107	34	125	0.9978	3.14	1.22	low	23.22	no
white	0.0089	0.03	0.03	0.02	6.8	0.29	0.49	very low	0.142	52	148	0.9937	3.08	0.49	low	23.95	no
white	0.0032	0.04	0.01	0.03	7	0.21	0.34	very sweet	0.057	19	101	0.9954	2.99	0.59	low	29.24	no
white	0.0042	0.06	0.05	0.04	6.8	0.19	0.4	very sweet	0.055	41	103	0.99532	2.98	0.56	med	24.8	no
red	0.054	0.48	0.42	0.42	7.3	0.73	0.24	very low	0.108	18	102	0.9967	3.26	0.59	low	46.66	no
white	0.0049	0.09	0.07	0.03	6.4	0.29	0.3	sweet	0.209	62	156	0.99478	3.1	0.4	low	28.01	no
white	0.0034	0.06	0.08	0.03	6.9	0.14	0.29	very sweet	0.056	30	91	0.99512	3.19	0.33	low	26.96	no
white	0.0047	0.07	0.03	0.03	6.6	0.16	0.3	very low	0.034	15	78	0.992	3.38	0.44	med	28.94	no
white	0.0015	0.1	0.08	0.05	7.3	0.23	0.37	very low	0.032	60	156	0.992	3.11	0.35	med	24.2	no
white	0.0061	0.05	0.04	0.03	5.2	0.5	0.18	low	0.036	23	129	0.98949	3.36	0.77	standard	19.98	yes
red	0.043	0.78	0.62	0.29	6.6	0.725	0.2	sweet	0.073	29	79	0.9977	3.29	0.54	low	40.48	no
red	0.065	0.23	0.41	0.17	15.5	0.645	0.49	med	0.095	10	23	1.00315	2.92	0.74	med	30.36	no
white	0.009	0.01	0.07	0.02	6.1	0.2	0.34	very sweet	0.041	38	201	0.995	3.14	0.44	med	18	no
white	0.0043	0.07	0.08	0.02	5.2	0.185	0.22	very low	0.03	47	123	0.99218	3.55	0.44	med	22.39	no
white	0.0086	0.04	0.08	0.05	8.5	0.24	0.47	very sweet	0.057	40	234	1.0005	3.02	0.66	low	16.12	no
white	7e-4	0.05	0.04	0.06	8.3	0.25	0.33	low	0.053	12	72	0.99404	2.89	0.48	low	14.4	no
red	0.035	0.55	0.63	0.14	8.7	0.69	0	low	0.084	13	33	0.9992	3.36	0.45	low	28.84	no
red	0.062	0.66	0.18	0.17	8.2	0.4	0.31	very low	0.082	8	24	0.996	3.24	0.69	med	33.21	no
white	0.0058	0.06	0.03	0.03	6.6	0.56	0.15	very sweet	0.037	38	157	0.99642	3.28	0.52	low	21.9	no
white	0.0021	0.1	0.08	0.02	6.4	0.32	0.27	med	0.034	18	122	0.9916	3.36	0.71	standard	28.94	no
white	0.0039	0.01	0.07	0.03	6.7	0.35	0.32	very sweet	0.032	29	113	0.99188	3.13	0.65	standard	29.48	yes
red	0.064	0.15	0.4	0.17	8	0.62	0.35	low	0.086	28	52	0.997	3.31	0.62	med	17.79	no
red	0.045	0.43	0.22	0.36	7.7	0.61	0.18	low	0.083	6	20	0.9963	3.29	0.6	med	26.43	no
white	0.01	0.08	0.07	0.05	6.6	0.38	0.36	very sweet	0.061	42	214	0.9976	3.31	0.56	low	17.61	no
red	0.057	0.75	0.64	0.41	12	0.39	0.66	low	0.093	12	30	0.9996	3.18	0.63	med	10.99	yes
white	0.0027	0.01	0.02	0.05	7.2	0.32	0.36	low	0.033	37	114	0.9906	3.1	0.71	standard	21.41	yes
white	0.0057	0.08	0.07	0.05	7.4	0.41	0.66	very sweet	0.051	77	194	0.9976	3.05	0.46	low	24.76	no
white	0.0053	0.01	0.02	0.01	7.8	0.28	0.49	very low	0.046	27	142	0.9936	3.09	0.59	med	27.12	no
red	0.043	0.38	0.46	0.26	7.3	0.305	0.39	very low	0.059	7	11	0.99331	3.29	0.52	standard	16.81	no
white	0.0016	0.03	0.01	0.04	6.1	0.27	0.32	sweet	0.048	47	161	0.99281	3.22	0.6	med	13.81	no
white	0.0018	0.1	0.01	0.01	7.5	0.14	0.34	very low	0.055	50	153	0.9945	3.29	0.8	low	25.04	no
white	0.0018	0.03	0.03	0.02	7.1	0.18	0.74	very sweet	0.044	44	176	0.9996	3.38	0.67	low	26.64	no
red	0.061	0.19	0.39	0.2	15	0.21	0.44	low	0.075	10	24	1.00005	3.07	0.84	low	13.75	yes
red	0.064	0.3	0.62	0.33	7.9	0.18	0.4	low	0.049	38	67	0.996	3.33	0.93	med	46.38	no
white	0.0097	0.05	0.02	0.03	7.2	0.19	0.39	very low	0.036	32	85	0.9918	3.16	0.5	med	16.3	no
white	0.0039	0.03	0.08	0.06	5.7	0.32	0.18	very low	0.029	26	104	0.9906	3.44	0.37	med	17.33	no
white	3e-4	0.09	0.02	0.01	6.4	0.28	0.23	sweet	0.051	50	162	0.994	3.15	0.52	med	14.11	no
white	0.0039	0.08	0.05	0.02	7	0.23	0.32	very low	0.048	25	113	0.9915	3.11	0.47	med	22.86	no
white	0.0031	0.08	0.04	0.06	5.8	0.36	0.32	very low	0.033	22	96	0.9898	3.03	0.38	med	26.87	no
white	0.004	0.08	0.08	0.04	6.9	0.41	0.33	very sweet	0.043	28	152	0.9968	3.2	0.52	low	27.63	no
white	0.0098	0.01	0.07	0.06	6.6	0.25	0.34	low	0.054	22	141	0.99338	3.26	0.47	med	26.12	no
white	0.0066	0.08	0.05	0.04	6.3	0.27	0.51	sweet	0.049	35	200	0.99548	3.16	0.54	low	27.16	no
white	0.0083	0.09	0.07	0.06	6.1	0.28	0.23	med	0.038	13	95	0.98898	2.97	0.7	standard	18.59	no
white	0.0091	0.05	0.04	0.01	7.2	0.24	0.27	very sweet	0.034	40	174	0.99773	3.2	0.44	low	19.78	no
white	0.0042	0.04	0.01	0.03	6.9	0.16	0.35	very low	0.043	21	182	0.9927	3.25	0.62	med	14.78	no
white	0.0044	0.04	0.03	0.05	6.3	0.26	0.21	med	0.03	24	125	0.9915	3.06	0.34	med	15.18	no
white	0.0093	0.08	0.08	0.01	8.3	0.18	0.3	very low	0.033	20	57	0.99109	3.02	0.51	med	18.27	no
white	0.0097	0.03	0.03	0.03	6	0.29	0.25	very low	0.033	30	114	0.98794	3.08	0.43	standard	25.5	no
white	4e-4	0.05	0.06	0.06	6.8	0.28	0.44	very sweet	0.04	58	223	0.9969	3.22	0.56	low	17.06	no
white	0.0066	0.1	0.02	0.05	6.1	0.28	0.24	very sweet	0.074	32	174	0.99922	3.19	0.44	low	12.42	no
white	0.01	0.03	0.03	0.03	6.7	0.66	0	very sweet	0.033	32	75	0.99551	3.15	0.5	med	12.72	no
white	3e-4	0.07	0.04	0.04	6.1	0.32	0.33	very sweet	0.036	27	98	0.99521	3.34	0.52	med	24.63	no
white	2e-4	0.05	0.05	0.04	7.9	0.41	0.37	med	0.03	40	114	0.992	3.17	0.54	standard	16.24	yes
white	0.0042	0.01	0.05	0.03	6.2	0.16	0.34	very low	0.038	85	153	0.9909	3.33	0.86	standard	16.93	yes
red	0.062	0.48	0.18	0.18	6.6	0.52	0.04	low	0.069	8	15	0.9956	3.4	0.63	low	42.86	no
red	0.049	0.6	0.11	0.23	7.8	0.61	0.29	very low	0.114	9	29	0.9974	3.26	1.56	low	31.67	no
white	0.0087	0.01	0.05	0.04	6.3	0.33	0.2	very sweet	0.066	36	161	0.9991	3.14	0.51	low	19.25	no
white	0.0012	0.01	0.04	0.02	6	0.22	0.33	very sweet	0.033	25	97	0.99356	3.17	0.42	med	18.81	yes
white	0.0072	0.03	0.05	0.06	6.2	0.28	0.33	very low	0.029	24	111	0.99	3.24	0.5	standard	26.81	no
white	5e-4	0.06	0.02	0.04	8.3	0.21	0.4	very low	0.032	35	110	0.9907	3.02	0.6	standard	14.57	yes
red	0.046	0.17	0.37	0.21	8.3	0.6	0.25	low	0.118	9	38	0.99616	3.15	0.53	low	12.45	no
white	0.0025	0.08	0.07	0.04	6.4	0.18	0.74	very sweet	0.046	54	168	0.9978	3.58	0.68	med	20.05	no
white	0.0067	0.02	0.06	0.05	8	0.17	0.29	low	0.029	52	119	0.98944	3.03	0.33	standard	27.48	no
white	0.001	0.06	0.08	0.06	6.6	0.3	0.45	very sweet	0.038	54	200	0.9956	3.18	0.48	low	21.02	no
white	0.0023	0.07	0.05	0.06	7.1	0.22	0.33	low	0.033	48	153	0.9899	3.15	0.38	standard	22.9	yes
red	0.062	0.28	0.35	0.35	7.3	0.585	0.18	low	0.078	15	60	0.99638	3.31	0.54	low	44.48	no
white	0.0086	0.05	0.04	0.03	7	0.15	0.28	very sweet	0.051	29	149	0.99792	2.96	0.39	low	15.34	yes
white	0.0023	0.07	0.03	0.03	7	0.16	0.3	low	0.043	34	90	0.99047	2.88	0.47	med	26.95	no
white	0.007	0.06	0.05	0.05	7.9	0.25	0.35	sweet	0.039	22	64	0.99362	2.93	0.49	med	29.69	no
white	0.0099	0.01	0.06	0.02	7.4	0.16	0.32	very low	0.065	23	140	0.99134	3.06	0.47	med	14.21	no
white	0.0065	0.02	0.01	0.03	6.5	0.4	0.31	low	0.046	22	147	0.99024	3.15	0.31	standard	17.34	yes
red	0.059	0.42	0.18	0.14	9.4	0.4	0.31	low	0.09	13	62	0.9966	3.07	0.63	med	37.32	no
white	0.0058	0.01	0.03	0.05	6.6	0.22	0.23	very sweet	0.047	37	118	0.99906	3.08	0.46	low	12.44	no
white	0.0036	0.1	0.04	0.02	7.7	0.18	0.3	very low	0.046	49	199	0.99413	3.03	0.38	low	21.85	no
